City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
128,Barmer,IN,81.19,25.75,71.38,OYO 71911 Hotel Amber Palace
129,Ambagarh Chauki,IN,77.68,20.78,80.72,Family Dhaba
134,Saint-Georges,GD,82.4,12.06,-61.75,Siesta Hotel
146,Bahia Honda,CU,81.97,22.9,-83.16,Casa Gualberto - Deysi
150,Sihora,IN,75.2,23.48,80.12,Hotel Yash Raj Sihora
154,Norwalk,US,84.2,33.9,-118.08,DoubleTree by Hilton Hotel Los Angeles - Norwalk
155,Marzuq,YE,78.48,14.4,46.47,
157,Codajas,BR,75.74,-3.84,-62.06,Hotel Tamires
160,Dzemul,MX,75.99,21.2,-89.3,"La Casita Maya, Telchac"
162,Manavalakurichi,IN,82.4,8.13,77.3,Udaya Boys Hostel
167,Wagar,SD,82.62,16.15,36.2,
168,Wilmington,US,75.99,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
171,Mao,ES,75.2,39.89,4.27,ARTIEM Capri
172,Weligama,LK,80.28,5.97,80.42,Weligama Bay Resort
173,Jalu,LY,75.16,29.03,21.55,Jalu Hotel
178,Kudahuvadhoo,MV,82.8,2.67,72.89,Kudahuvadhoo Retreat
183,Vavuniya,LK,79.83,8.75,80.5,Thampa Hotel
190,Riyadh,SA,82.4,24.69,46.72,InterContinental Riyadh
192,Chichli,IN,76.95,22.83,78.82,जयश टेंट हाउस चीचली
193,Alice Town,BS,85.53,25.72,-79.3,Bimini Big Game Club Resort & Marina
198,Tukrah,LY,76.37,32.53,20.58,استراحة لاقروتا
199,Lake City,US,78.01,30.19,-82.64,Holiday Inn & Suites Lake City
203,Cayenne,GF,75.2,4.93,-52.33,Hôtel Le Dronmi
204,Ascension,US,78.8,30.22,-90.9,Highland Inn
205,Najran,SA,82.4,17.49,44.13,محمد هادي ال فطيح
211,Shihezi,CN,80.04,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
212,Follonica,IT,75.0,42.93,10.76,Hotel Parrini
216,Oriximina,BR,80.38,-1.77,-55.87,Pousada Tia Amélia
220,Salinopolis,BR,79.16,-0.61,-47.36,Hotel Salinópolis
226,Shache,CN,81.45,38.42,77.24,Delong Hotel
228,Banda Aceh,ID,83.1,5.56,95.32,OYO 884 Rumoh PMI Hotel
230,Malangwa,NP,85.89,26.86,85.56,Prem Meat House
235,Olinda,BR,77.0,-8.01,-34.86,Hotel 5 Sóis
237,Umm Lajj,SA,81.88,25.02,37.27,Moon light Furnished Units
243,San Rafael Del Sur,NI,78.8,11.85,-86.44,Hospedaje El Chino
245,Sinnamary,GF,79.56,5.38,-52.95,ALETHEIA Appartement Sinnamary
246,Gurupi,BR,79.21,-11.73,-49.07,Via Norte Hotel
254,Agadez,NE,86.56,19.75,10.25,
255,Fatehpur Sikri,IN,80.1,27.1,77.67,Hotel Goverdhan Tourist Complex
263,Loandjili,CG,75.2,-4.76,11.86,Résidence ARCHANGE
264,Bonthe,SL,76.15,7.53,-12.51,Bonthe Holiday Village
268,Mankapur,IN,82.56,27.03,82.23,surat hotel
271,Tharad,IN,80.6,24.4,71.63,Shree Nandan Couriyar Service
273,Palmas Bellas,PA,80.6,9.23,-80.09,Estación de Chagres
274,Samana,DO,79.75,19.21,-69.34,The Bannister - Hotel & Yacht Club
277,Merrill,US,75.2,45.18,-89.68,Prairie Motel
278,Lakefield,US,82.0,43.68,-95.17,Wind Mill Motel
279,Sulur,IN,77.0,11.03,77.13,RVS Unit II Girls Hostel
292,Nguru,NG,75.13,12.88,10.45,Government Lodge
297,Matara,LK,82.81,5.95,80.54,Amaloh Boutique Resort
298,Dennery,LC,82.4,13.9,-60.89,The Fox Grove Inn
301,Ayorou,NE,84.78,14.73,0.92,Hotel Amenokal
302,Itarema,BR,76.96,-2.92,-39.92,Windvillage
303,El Sauce,NI,75.16,12.89,-86.54,Hotel Blanco
304,Farah,AF,89.17,32.5,62.5,
305,Nouakchott,MR,82.4,18.09,-15.98,Hôtel Iman
306,Orleans,US,82.0,30.03,-89.95,Holiday Inn Express New Orleans East
309,San Gabriel,US,86.0,34.1,-118.11,Hilton Los Angeles/San Gabriel
311,Nouadhibou,MR,75.2,20.93,-17.03,El Medina
312,Sur,OM,78.96,22.57,59.53,Sur Plaza Hotel
314,Kulhudhuffushi,MV,83.37,6.62,73.07,Haajy Guest House 1
316,Tabuk,PH,87.57,17.42,121.44,Grand Zion Garden Resort Hotel
319,Marawi,PH,84.0,8.0,124.29,Salihmaruhom
322,Denia,ES,79.0,38.84,0.11,Hotel Port Dénia
327,San Antonio,US,88.0,29.42,-98.49,Marriott Plaza San Antonio
334,Rafraf,TN,77.0,37.19,10.18,Les Jardins de la Mer Ghar el Melh
335,Shadegan,IR,84.2,30.65,48.66,ديوانية شيخ عبود الذياب آل سالم
341,Gilgit,PK,84.78,35.92,74.31,Tourist Hamlet Gilgit
342,Dhidhdhoo,MV,83.5,6.88,73.1,Dhidhoo beach
356,Santa Lucia,ES,78.8,27.91,-15.54,Hotel Viverde Las Tirajanas
357,Santa Rosa,PH,89.01,14.31,121.11,Amethyst Econotel
361,Prien,US,84.2,30.18,-93.27,L'Auberge Casino Resort Lake Charles
370,Mindelo,CV,77.99,16.89,-24.98,Hotel Gaudi
371,Batticaloa,LK,83.88,7.71,81.69,Grand Star Guest House
376,Bakel,SN,79.03,14.9,-12.46,Hôtel islam
380,Merke,KZ,81.68,42.87,73.18,Gostinitsa
382,Veraval,IN,82.51,20.9,70.37,Lords Inn Somnath
383,Mogadishu,SO,75.36,2.04,45.34,Hotel Juba
389,Sarankhola,BD,83.73,22.31,89.79,ইসা ষ্টোর
392,Bowling Green,US,78.8,36.99,-86.44,Hilton Garden Inn Bowling Green
