City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Mongoumba,CF,2020-08-20 03:31:43,3.64,18.59,72.34,94,100,0.74
93,Troitsk,RU,2020-08-20 03:31:43,54.1,61.58,53.33,76,100,15.01
94,Mitsamiouli,KM,2020-08-20 03:31:44,-11.38,43.28,76.17,76,50,14.29
95,Nouadhibou,MR,2020-08-20 03:31:44,20.93,-17.03,69.8,88,2,12.75
96,Butajira,ET,2020-08-20 03:31:44,8.12,38.37,57.27,78,98,1.61
97,Kaduqli,SD,2020-08-20 03:31:44,11.02,29.72,71.31,94,77,1.61
98,Guider,CM,2020-08-20 03:31:45,9.93,13.95,72.25,93,100,5.39
99,Rovnoye,RU,2020-08-20 03:31:45,50.78,46.05,60.62,60,78,12.15
100,Rock Hill,US,2020-08-20 03:31:22,34.92,-81.03,71.6,94,40,3.36
101,Chuy,UY,2020-08-20 03:31:45,-33.7,-53.46,40.75,78,29,9.6
102,Torbay,CA,2020-08-20 03:31:45,47.67,-52.73,63.0,93,90,14.99
103,Saint-Philippe,RE,2020-08-20 03:31:46,-21.36,55.77,69.01,64,90,4.7
104,Whitehaven,GB,2020-08-20 03:31:46,54.55,-3.58,61.0,83,93,14.0
105,Filadelfia,US,2020-08-20 03:27:43,39.95,-75.16,73.99,78,75,6.4
106,Santa Cruz,BO,2020-08-20 03:31:46,-17.8,-63.17,55.4,93,90,29.97
107,Tandil,AR,2020-08-20 03:31:47,-37.32,-59.13,37.0,78,0,1.99
108,Codrington,AU,2020-08-20 03:31:47,-38.27,141.97,55.4,67,28,21.25
109,Marienburg,PL,2020-08-20 03:31:47,54.04,19.03,57.99,100,0,5.93
110,Peniche,PT,2020-08-20 03:31:48,39.36,-9.38,72.0,92,64,11.99
111,Urucara,BR,2020-08-20 03:31:48,-2.54,-57.76,79.25,58,88,2.93
112,Jilib,SO,2020-08-20 03:31:48,0.49,42.79,74.55,89,43,5.79
113,Guanica,PR,2020-08-20 03:31:48,17.97,-66.91,79.0,82,0,5.41
114,Nieuw Amsterdam,SR,2020-08-20 03:31:49,5.88,-55.08,81.0,87,34,4.0
115,Kondinskoye,RU,2020-08-20 03:31:49,59.65,67.41,59.76,73,0,5.44
116,Ribeira Grande,PT,2020-08-20 03:31:49,38.52,-28.7,69.64,70,68,17.05
117,Laguna,US,2020-08-20 03:31:21,38.42,-121.42,90.0,22,90,6.93
118,Rudnichnyy,RU,2020-08-20 03:31:50,59.62,52.47,49.37,88,100,11.48
119,Mangrol,IN,2020-08-20 03:31:50,21.12,70.12,83.01,82,100,17.74
120,Vorontsovka,RU,2020-08-20 03:31:50,50.61,40.35,63.01,76,0,9.86
121,Sinnamary,GF,2020-08-20 03:31:50,5.38,-52.95,78.62,86,47,12.41
122,Sechura,PE,2020-08-20 03:31:51,-5.56,-80.82,61.54,80,100,12.68
123,Yar-Sale,RU,2020-08-20 03:31:51,66.83,70.83,54.48,87,100,9.95
124,Cayenne,GF,2020-08-20 03:31:30,4.93,-52.33,75.2,100,8,11.27
125,Talas,TR,2020-08-20 03:31:51,38.69,35.55,51.8,66,0,5.82
126,Pangnirtung,CA,2020-08-20 03:31:52,66.15,-65.71,51.62,44,18,1.7
127,Doka,SD,2020-08-20 03:31:52,13.52,35.77,69.57,97,86,8.84
128,Mandya,IN,2020-08-20 03:31:52,12.52,76.9,75.2,83,40,11.41
129,Longyearbyen,SJ,2020-08-20 03:31:52,78.22,15.64,42.8,70,75,17.22
130,Sorland,NO,2020-08-20 03:31:52,67.67,12.69,44.6,93,75,2.24
131,Los Llanos De Aridane,ES,2020-08-20 03:31:53,28.66,-17.92,69.8,83,0,6.93
132,Beyneu,KZ,2020-08-20 03:31:53,45.32,55.2,76.05,19,0,7.92
133,Ancud,CL,2020-08-20 03:31:53,-41.87,-73.82,44.01,86,27,5.82
134,Yangambi,CD,2020-08-20 03:31:53,0.81,24.43,70.56,97,98,1.83
